iso3_countrycode,country,lat,lon,year,amount_totalcap.mw_nonrenewable,amount_totalcap.mw_nuclear,amount_totalcap.mw_renewable,amount_totalgen.gwh_nonrenewable,amount_totalgen.gwh_nuclear,amount_totalgen.gwh_renewable,prop_totalcap.mw_nonrenewable,prop_totalcap.mw_nuclear,prop_totalcap.mw_renewable,prop_totalgen.gwh_nonrenewable,prop_totalgen.gwh_nuclear,prop_totalgen.gwh_renewable
LAO,Lao People's Democratic Republic (the),18.496886846255027,103.7672805948314,2022,1653.02,0,9624.33,0,0,0,0.14657876185451368,0,0.8534212381454863,NA,NA,NA
LVA,Latvia,56.854043036328406,24.92701275566909,2022,1111.35,0,1965.28,0,0,0,0.3612231565056571,0,0.6387768434943428,NA,NA,NA
LBN,Lebanon,33.921417714021736,35.89393229771117,2022,2781.12,0,731.84,0,0,0,0.7916742576061213,0,0.20832574239387866,NA,NA,NA
LSO,Lesotho,-29.583318411377544,28.246545461871403,2022,0.64,0,74.82,0,0,0,0.008481314603763584,0,0.9915186853962364,NA,NA,NA
LBR,Liberia,6.448360095401649,-9.309148190333046,2022,98,0,95.63,0,0,0,0.506119919433972,0,0.493880080566028,NA,NA,NA
LBY,Libya,27.037904782706708,18.02628294897286,2022,10996,0,6.33,0,0,0,0.9994246673204675,0,5.753326795324263e-4,NA,NA,NA
LTU,Lithuania,55.336780518190416,23.90459746007368,2022,1789,0,2377,0,0,0,0.42942870859337495,0,0.5705712914066251,NA,NA,NA
LUX,Luxembourg,49.77680968967495,6.09266714837281,2022,52.06,0,1868.33,0,0,0,0.027109076802107907,0,0.9728909231978922,NA,NA,NA
MDG,Madagascar,-19.38676476461761,46.69626151867307,2022,622,0,197.42999999999998,0,0,0,0.7590642275728251,0,0.24093577242717498,NA,NA,NA
MWI,Malawi,-13.213266013462787,34.302266995251344,2022,132.1,0,550.5799999999999,0,0,0,0.19350208003749927,0,0.8064979199625006,NA,NA,NA
MYS,Malaysia,3.609391354770303,114.72070217159266,2022,29795.170000000002,0,9044.32,0,0,0,0.7671359742365309,0,0.23286402576346904,NA,NA,NA
MDV,Maldives,1.9506742412455569,73.53197634409614,2022,529.25,0,37.47,969.1800000000001,0,56.21,0.9338826933935629,0,0.06611730660643704,0.9451818332536888,0,0.05481816674631115
MLI,Mali,17.361394332958923,-3.5122086025135935,2022,459.29999999999995,0,565.5600000000001,0,0,0,0.4481587729055675,0,0.5518412270944324,NA,NA,NA
MLT,Malta,35.88912346261512,14.440069498885732,2022,590,0,225.66,0,0,0,0.7233406076061104,0,0.2766593923938896,NA,NA,NA
MHL,Marshall Islands (the),7.0951955462108165,171.19738626229753,2022,28.87,0,1.78,0,0,0,0.9419249592169657,0,0.05807504078303426,NA,NA,NA
MTQ,Martinique,NA,NA,2022,396.85,0,132.45,0,0,0,0.7497638390326847,0,0.2502361609673153,NA,NA,NA
MRT,Mauritania,20.259511214711832,-10.332420434349572,2022,504.63,0,123.41,0,0,0,0.8034997770842622,0,0.19650022291573785,NA,NA,NA
MUS,Mauritius,-20.283519542928634,57.57199680175486,2022,640,0,272.15000000000003,0,0,0,0.7016389848160938,0,0.2983610151839062,NA,NA,NA
MYT,Mayotte,NA,NA,2022,99,0,30.03,0,0,0,0.7672634271099744,0,0.23273657289002558,NA,NA,NA
MEX,Mexico,23.93366852768051,-102.51921949459164,2022,68886.61,1608,31954.05,0,0,15.62,0.6724012788454237,0.01569566649285603,0.3119030546617203,0,0,1
FSM,Micronesia (Federated States of),6.881742950081547,158.22284744283894,2022,38.87,0,4.46,0,0,0,0.8970690053081006,0,0.10293099469189938,NA,NA,NA
MNG,Mongolia,46.836420305046374,103.0697641725113,2022,1277.6,0,279.85,7429.6,0,759.7,0.8203152589168192,0,0.1796847410831809,0.9072326084036487,0,0.09276739159635133
MNE,Montenegro,42.78631343488484,19.25138581539959,2022,225,0,836.8900000000001,0,0,0,0.2118863535771125,0,0.7881136464228875,NA,NA,NA
MSR,Montserrat,NA,NA,2022,6.94,0,1,0,0,0,0.8740554156171285,0,0.12594458438287154,NA,NA,NA
MAR,Morocco,31.842348004400847,-6.281701763794363,2022,6676,0,4188.93,33937.37,0,7565.91,0.6144540277756046,0,0.3855459722243954,0.8177033236891157,0,0.18229667631088434
MOZ,Mozambique,-17.25928426427881,35.55222767533149,2022,599.1899999999999,0,2312.69,0,0,0,0.2057742764124895,0,0.7942257235875104,NA,NA,NA
MMR,Myanmar,21.177622298443698,96.5047520443552,2022,4303.53,0,3466.48,0,0,0,0.5538641520409883,0,0.4461358479590116,NA,NA,NA
NAM,Namibia,-22.13878823857543,17.222651248865677,2022,183.31,0,532.95,0,0,0,0.25592661882556617,0,0.7440733811744339,NA,NA,NA
NRU,Nauru,-0.5196880745991859,166.9300087830504,2022,23.7,0,3.17,0,0,0,0.8820245627093414,0,0.11797543729065874,NA,NA,NA
NPL,Nepal,28.258579192511668,83.94523109534339,2022,53.41,0,2343.3700000000003,0,0,0,0.022284064453141295,0,0.9777159355468588,NA,NA,NA
NLD,Netherlands (Kingdom of the),52.26560962880857,5.683169690287281,2022,22964.51,512,28537.94,0,0,0,0.44150250555374515,0.009843418511586684,0.5486540759346682,NA,NA,NA
NCL,New Caledonia,-21.2352,165.24433,2022,814.8199999999999,0,254.88,0,0,0,0.761727587173974,0,0.23827241282602601,NA,NA,NA
NZL,New Zealand,-43.98675582844517,170.48226917563562,2022,2218,0,7799.6,0,0,0,0.22141031784060053,0,0.7785896821593995,NA,NA,NA
NIC,Nicaragua,12.844371409257516,-85.04161381107578,2022,882.9,0,746.85,1476.8899999999999,0,2827.29,0.5417395306028532,0,0.4582604693971468,0.34312923716015586,0,0.656870762839844
NER,Niger (the),17.41829666286474,9.406185704751849,2022,448.6,0,62.04,0,0,0,0.8785054049819834,0,0.1214945950180166,NA,NA,NA
NGA,Nigeria,9.59935796198383,8.106539953298753,2022,11015.2,0,2206.01,0,0,0,0.8331461341284194,0,0.1668538658715806,NA,NA,NA
NIU,Niue,NA,NA,2022,2.08,0,0.94,0,0,0,0.6887417218543046,0,0.31125827814569534,NA,NA,NA
MKD,North Macedonia,41.60046322179853,21.700830492159632,2022,1104,0,821.5200000000001,0,0,0,0.5733516141094354,0,0.4266483858905647,NA,NA,NA
NOR,Norway,64.234917150007675,13.989339708439733,2022,720.72,0,39650.47,0,0,0,0.017852334796175193,0,0.9821476652038248,NA,NA,NA
OMN,Oman,20.568140381952013,56.09877560259213,2022,10345.92,0,705.09,0,0,0,0.9361967820135897,0,0.0638032179864103,NA,NA,NA
PAK,Pakistan,29.95144939231404,69.37099050370887,2022,27392,3432,13943.43,0,0,0,0.6118734088599681,0.07666287745354156,0.3114637136864904,NA,NA,NA
PLW,Palau,7.498349655408471,134.56579527654884,2022,30.14,0,4.34,0,0,0,0.8741299303944314,0,0.12587006960556843,NA,NA,NA
PAN,Panama,8.518025927787466,-80.09365186195565,2022,1331.55,0,2799.5,2423.91,0,9844.33,0.3223272533617361,0,0.6776727466382638,0.19757601742385214,0,0.8024239825761479
PNG,Papua New Guinea,-6.617695598878594,144.26415726859042,2022,748.39,0,333.25,0,0,0,0.6919030361303207,0,0.3080969638696794,NA,NA,NA
PRY,Paraguay,-23.234414185062704,-58.3943521608365,2022,26.19,0,8852.61,0,0,0,0.0029497229355318283,0,0.9970502770644681,NA,NA,NA
PER,Peru,-9.171987634470666,-74.35779357654144,2022,8842.199999999999,0,6431.33,0,0,0,0.5789231435038266,0,0.4210768564961735,NA,NA,NA
PHL,Philippines (the),15.946834279714247,121.4223041992658,2022,20688.3,0,8404.29,0,0,0,0.7111192231423877,0,0.2888807768576122,NA,NA,NA
POL,Poland,52.12244029122092,19.40652732547571,2022,34921.36,0,22665.100000000002,0,0,0,0.6064161610211845,0,0.3935838389788155,NA,NA,NA
PRT,Portugal,39.68679915909473,-7.964760001339267,2022,6335.160000000001,0,16329.09,0,0,0,0.27952215493563654,0,0.7204778450643635,NA,NA,NA
PRI,Puerto Rico,NA,NA,2022,5481.4000000000005,0,841.3100000000001,17858.33,0,1060.21,0.8669383855973151,0,0.1330616144026849,0.9439592061543862,0,0.056040793845613876
QAT,Qatar,25.280491277893304,51.19315130414746,2022,10591,0,824.1,0,0,0,0.9278061515010819,0,0.0721938484989181,NA,NA,NA
KOR,Republic of Korea (the),36.45384887524153,127.8511527831918,2022,89241.69,24650,35826.33,0,0,0,0.5960651229558072,0.16464283992000425,0.2392920371241885,NA,NA,NA
MDA,Republic of Moldova (the),47.20236362132611,28.465078983078996,2022,2943,0,254.81,0,0,0,0.9203173421810552,0,0.07968265781894485,NA,NA,NA
ROU,Romania,45.84201314688488,24.973585535534777,2022,5945.99,1300,11232.550000000001,0,0,0,0.3217781274927564,0.07035187844927142,0.6078699940579722,NA,NA,NA
RUS,Russian Federation (the),61.66165370716631,99.10859783307724,2022,187328.4,29542.99,58236.229999999996,0,0,0,0.6809277038564036,0.1073870291197314,0.21168526702386506,NA,NA,NA
RWA,Rwanda,-2.000178709188915,29.92536763260317,2022,149.14,0,150.16,0,0,0,0.498296024056131,0,0.5017039759438691,NA,NA,NA
NA,R�union,NA,NA,2022,459,0,462.54,0,0,0,0.49807930203789313,0,0.5019206979621069,NA,NA,NA
BLM,Saint Barthélemy,17.89984,-62.83015,2022,34.2,0,0.04,0,0,0,0.9988317757009346,0,0.0011682242990654205,NA,NA,NA
KNA,Saint Kitts and Nevis,17.337715143171454,-62.76767937642355,2022,74.3,0,5.21,225.01,0,10.34,0.9344736511130676,0,0.06552634888693247,0.9560654344593159,0,0.04393456554068409
LCA,Saint Lucia,13.89629695342863,-60.96784097914497,2022,88.4,0,4.02,409.41,0,7.9,0.9565029214455746,0,0.043497078554425445,0.9810692291102538,0,0.01893077088974623
MAF,Saint Martin (French Part),NA,NA,2022,56.6,0,1,0,0,0,0.9826388888888888,0,0.017361111111111112,NA,NA,NA
SPM,Saint Pierre and Miquelon,46.825,-56.275,2022,26.2,0,0,0,0,0,1,0,0,NA,NA,NA
VCT,Saint Vincent and the Grenadines,13.248931442201966,-61.1939770853515,2022,46.85,0,9.42,0,0,0,0.8325928558734672,0,0.16740714412653276,NA,NA,NA
WSM,Samoa,-13.620128018957177,-172.46736235792656,2022,31.58,0,29.13,0,0,0,0.520177894910229,0,0.4798221050897711,NA,NA,NA
STP,Sao Tome and Principe,0.2398305309209685,6.6017917765109555,2022,28.3,0,2.12,0,0,0,0.9303090072320841,0,0.06969099276791585,NA,NA,NA
SAU,Saudi Arabia,24.12550135299268,44.54952717760517,2022,83090.75,0,443.13,0,0,0,0.9946952063043162,0,0.005304793695683715,NA,NA,NA
SEN,Senegal,14.363906869297972,-14.462677124500136,2022,1088.7,0,446.2,0,0,0,0.709297022607336,0,0.290702977392664,NA,NA,NA
SRB,Serbia,44.23020843141752,20.79434450026081,2022,4843.12,0,3668.0899999999997,0,0,0,0.5690283755188745,0,0.43097162448112547,NA,NA,NA
SYC,Seychelles,-4.678673138938036,55.467305056715155,2022,106.08,0,24.4,0,0,0,0.8129981606376456,0,0.1870018393623544,NA,NA,NA
SLE,Sierra Leone,8.569293077753317,-11.78040060647425,2022,138.7,0,104.11,0,0,0,0.5712285325975042,0,0.4287714674024958,NA,NA,NA
SGP,Singapore,1.3545733865798006,103.80603615220478,2022,11553.5,0,846.22,0,0,0,0.9317549105947555,0,0.06824508940524464,NA,NA,NA
SXM,Sint Maarten (Dutch Part),18.04234,-63.05922,2022,99,0,0,0,0,0,1,0,0,NA,NA,NA
SVK,Slovakia,48.70742323838981,19.484970323595263,2022,2165,2003,3322,0,0,0,0.2890520694259012,0.26742323097463283,0.44352469959946594,NA,NA,NA
SVN,Slovenia,46.11937612560178,14.82175381324208,2022,1755.47,688,2057.95,0,0,0,0.38998138365226975,0.1528406591697731,0.4571779571779571,NA,NA,NA
SLB,Solomon Islands,-9.623299754715568,160.1593008683016,2022,51.739999999999995,0,5.23,0,0,0,0.9081972968228892,0,0.09180270317711077,NA,NA,NA
SOM,Somalia,6.061600577199819,45.867110687983875,2022,106,0,50.589999999999996,0,0,0,0.6769270068331311,0,0.3230729931668689,NA,NA,NA
ZAF,South Africa,-28.995996550693235,25.088001282665704,2022,46453.4,1940,13218.45,0,0,0,0.7539685953270353,0.03148744924880522,0.21454395542415947,NA,NA,NA
SGS,South Georgia and the South Sandwich Islands,NA,NA,2022,0.19,0,0.26,0,0,0.76,0.4222222222222222,0,0.5777777777777778,0,0,1
SSD,South Sudan,7.332229339822201,30.20230004110988,2022,166.4,0,14.06,0,0,0,0.9220879973401308,0,0.07791200265986922,NA,NA,NA
ESP,Spain,40.39085119192312,-3.554891953804411,2022,38234.979999999996,7117.29,71240.67,0,0,0,0.3279356365831413,0.06104391912580642,0.6110204442910523,NA,NA,NA
LKA,Sri Lanka,7.607084045635086,80.70602144288995,2022,1992,0,2857.43,0,0,0,0.41076992553764047,0,0.5892300744623594,NA,NA,NA
PSE,State of Palestine (the),31.91253,35.20462,2022,160,0,192.17,0,0,0,0.45432603572138464,0,0.5456739642786155,NA,NA,NA
SDN,Sudan (the),16.131405212300752,30.051385064341726,2022,1935,0,1870.86,0,0,0,0.5084264791663383,0,0.4915735208336618,NA,NA,NA
SUR,Suriname,4.138889070832407,-55.90665327475271,2022,387.5,0,193.12,0,0,0,0.6673900313458028,0,0.33260996865419723,NA,NA,NA
SWE,Sweden,62.82797534702197,16.738031827032753,2022,4146,6899,38044,0,0,0,0.08445884006600257,0.14054065065493287,0.7750005092790646,NA,NA,NA
CHE,Switzerland,46.80010070015298,8.229088880388336,2022,731,2960,20287.92,0,0,0,0.03048510942110821,0.12344175634265431,0.8460731342362375,NA,NA,NA
SYR,Syrian Arab Republic (the),35.01704838713855,38.49710103339384,2022,8625,0,1557.31,0,0,0,0.8470572983929973,0,0.15294270160700274,NA,NA,NA
TJK,Tajikistan,38.52597854014024,71.0084927640042,2022,718,0,5274.48,0,0,0,0.11981683710250181,0,0.8801831628974982,NA,NA,NA
THA,Thailand,15.150069927111904,101.02028538740092,2022,45083.25,0,12757.15,0,0,0,0.7794422237743861,0,0.22055777622561393,NA,NA,NA
TLS,Timor-Leste,-8.797743253169164,125.94662700653656,2022,345.66999999999996,0,0.8,0,0,0,0.9976909977775853,0,0.0023090022224146393,NA,NA,NA
TGO,Togo,8.532878459062509,0.9772799885044332,2022,219.32999999999998,0,123.83,0,0,0,0.6391479193379181,0,0.36085208066208185,NA,NA,NA
TKL,Tokelau,-9.34601,-172.07306,2022,0.14,0,1.06,0,0,0,0.11666666666666665,0,0.8833333333333332,NA,NA,NA
TON,Tonga,-21.174944709149152,-175.19278363893557,2022,17.51,0,15.12,0,0,0,0.5366227398099908,0,0.46337726019000913,NA,NA,NA
TTO,Trinidad and Tobago,10.420873542786326,-61.29967893381053,2022,2040.25,0,4.109999999999999,0,0,0,0.9979895908744058,0,0.002010409125594318,NA,NA,NA
TUN,Tunisia,34.10806945516776,9.571137668531629,2022,6072,0,508.08,0,0,0,0.9227851333114491,0,0.0772148666885509,NA,NA,NA
TKM,Turkmenistan,39.194849555451306,59.180788855073835,2022,7870.4,0,2.2,0,0,0,0.9997205497548459,0,2.794502451540787e-4,NA,NA,NA
TCA,Turks and Caicos Islands,21.80031,-71.71875,2022,90.7,0,3.29,0,0,0,0.9649962761995956,0,0.03500372380040429,NA,NA,NA
TUV,Tuvalu,-7.472495200037,178.68874554545394,2022,3.14,0,2.31,0,0,0,0.5761467889908257,0,0.42385321100917434,NA,NA,NA
TUR,Turkey,38.98732943214799,35.429056700046935,2022,47879.49,0,55943.44,0,0,0,0.4611648891049405,0,0.5388351108950595,NA,NA,NA
UGA,Uganda,1.278323606352762,32.391787411766146,2022,101.08,0,1222.4199999999998,0,0,0,0.07637325273894977,0,0.9236267472610503,NA,NA,NA
UKR,Ukraine,49.01905710975204,31.393478476580572,2022,28664,13835,16760,0,0,0,0.48370711621863344,0.23346664641657808,0.28282623736478846,NA,NA,NA
ARE,United Arab Emirates (the),23.905873255176903,54.338825365649114,2022,31900,2780,3591.05,0,0,0,0.8335282151913783,0.07263976295398218,0.09383202185463947,NA,NA,NA
GBR,United Kingdom of Great Britain and Northern Ireland (the),53.942185006965346,-2.522154505706491,2022,43294.5,8141,55624.76,0,0,0,0.4043937498377082,0.07604128740206682,0.5195649627602249,NA,NA,NA
TZA,United Republic of Tanzania (the),-6.263890162556162,34.80479601737322,2022,1317.68,0,683.24,0,0,0,0.6585370729464446,0,0.34146292705355535,NA,NA,NA
VIR,United States Virgin Islands,NA,NA,2022,329.7,0,10.09,0,0,0,0.9703051884987788,0,0.029694811501221344,NA,NA,NA
USA,United States of America (the),39.52760418136378,-99.14432916630732,2022,726960.7000000001,94771.6,370963.67,0,0,0,0.6095104857275573,0.07945998174203607,0.3110295325304067,NA,NA,NA
URY,Uruguay,-32.796212485697694,-56.01794689922857,2022,1177.88,0,3754.4900000000002,1316.6599999999999,0,13419.01,0.2388060911894282,0,0.7611939088105717,0.08935189238086899,0,0.910648107619131
UZB,Uzbekistan,41.775482324430406,63.119338324715415,2022,14364.2,0,2301.1600000000003,0,0,0,0.8619195744946404,0,0.13808042550535962,NA,NA,NA
VUT,Vanuatu,-15.245561042357426,166.85546773762252,2022,23.15,0,12.13,0,0,0,0.6561791383219954,0,0.3438208616780045,NA,NA,NA
VEN,Venezuela (Bolivarian Republic of),7.122717653210318,-66.15543653733374,2022,17893,0,16972.53,0,0,0,0.5132002869309602,0,0.4867997130690398,NA,NA,NA
VNM,Viet Nam,16.678335235658643,106.30786268156564,2022,33987,0,45327.49,0,0,0,0.4285093429964689,0,0.5714906570035312,NA,NA,NA
YEM,Yemen,15.93558738093482,47.54775813185706,2022,1744.75,0,256.8,0,0,0,0.8716994329394719,0,0.1283005670605281,NA,NA,NA
ZMB,Zambia,-13.45661246754682,27.795762903937685,2022,523.6,0,3303.46,0,0,0,0.13681520540571615,0,0.8631847945942839,NA,NA,NA
ZWE,Zimbabwe,-18.999999399224972,29.872162810062942,2022,1250.75,0,1221.26,0,0,0,0.5059647816958669,0,0.49403521830413305,NA,NA,NA
